batch_id,timestamp,node_type,commodity,category,initial_quantity_kg,current_quantity_kg,days_since_harvest,shelf_life_days,days_to_expiry,storage_temp_celsius,optimal_temp_celsius,storage_humidity_pct,original_price_per_kg,recommended_price_per_kg,discount_percentage,urgency_level,spoilage_risk_percentage,waste_avoided_kg,revenue_recovered_inr,carbon_saved_kg_co2
BATCH-PRX-00318,2025-01-01 00:00:00,Wholesaler Depot,Banana,Fruit,3639,519.0,5,6,1,22.3,14.0,87.1,49.4,18.03,63.5,critical,100.0,457.2,8243.32,914.4
BATCH-PRX-00823,2025-01-01 00:00:00,Farm Hub,Rice,Cereal,1451,949.2,57,180,123,31.2,22.0,83.7,45.05,41.36,8.2,low,41.8,521.3,21560.97,1042.6
BATCH-PRX-00977,2025-01-01 00:00:00,Wholesaler Depot,Ginger,Spice,3674,455.8,22,20,-2,17.5,12.0,79.8,109.17,27.29,75.0,critical,100.0,0.0,0.0,0.0
BATCH-PRX-01127,2025-01-01 00:00:00,Mandi Yard,Cauliflower,Vegetable,1242,225.8,6,8,2,7.8,5.0,80.2,32.91,19.02,42.2,high,45.0,170.1,3235.3,340.2
BATCH-PRX-00315,2025-01-02 00:00:00,Retail Supermarket,Banana,Fruit,207,65.3,3,6,3,15.3,14.0,70.3,58.13,34.18,41.2,high,45.0,48.8,1667.98,97.6
BATCH-PRX-01291,2025-01-02 00:00:00,Farm Hub,Cabbage,Vegetable,3663,802.7,8,12,4,8.7,4.0,67.8,24.78,18.61,24.9,medium,20.0,521.3,9701.39,1042.6
BATCH-PRX-01933,2025-01-02 00:00:00,Mandi Yard,Rice,Cereal,4064,3377.3,11,180,169,27.4,22.0,80.7,50.61,41.25,18.5,low,26.5,2063.5,85119.38,4127.0
BATCH-PRX-00414,2025-01-03 00:00:00,Retail Supermarket,Orange,Fruit,3869,771.0,15,14,-1,18.5,6.0,80.9,68.03,17.01,75.0,critical,100.0,0.0,0.0,0.0
BATCH-PRX-00512,2025-01-03 00:00:00,Mandi Yard,Ginger,Spice,1081,455.7,7,20,13,21.5,12.0,79.4,122.74,113.41,7.6,low,43.0,248.6,28193.73,497.2
BATCH-PRX-00875,2025-01-03 00:00:00,Wholesaler Depot,Orange,Fruit,3560,2666.2,2,14,12,18.1,6.0,86.7,59.37,47.97,19.2,low,53.5,1640.2,78680.39,3280.4
BATCH-PRX-01170,2025-01-03 00:00:00,Retail Supermarket,Garlic,Spice / Vegetable,3176,2530.3,6,60,54,29.0,15.0,74.7,190.03,157.53,17.1,low,60.8,1524.8,240201.74,3049.6
BATCH-PRX-00982,2025-01-04 00:00:00,Farm Hub,Apple,Fruit,4328,1627.9,11,25,14,6.9,2.0,67.8,173.62,148.79,14.3,low,5.0,953.6,141886.14,1907.2
BATCH-PRX-01058,2025-01-04 00:00:00,Wholesaler Depot,Tomato,Vegetable,787,303.0,4,7,3,19.1,12.0,79.2,40.65,23.17,43.0,high,73.4,229.7,5322.15,459.4
BATCH-PRX-01082,2025-01-04 00:00:00,Farm Hub,Onion,Vegetable,4437,1789.1,10,30,20,16.5,10.0,66.1,33.25,28.23,15.1,low,31.0,1056.6,29827.82,2113.2
