state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price,arrivals_in_tonnes
Delhi,North Delhi,Azadpur Mandi,Apple,Royal Delicious,2023-01-02,11508,14395,12841,59.3
Himachal Pradesh,Shimla,Dhali Mandi,Apple,Royal Delicious,2023-01-02,11228,14329,12660,62.7
Tamil Nadu,Coimbatore,Coimbatore APMC,Banana,Robusta,2023-01-02,3679,4464,4042,116.0
Tamil Nadu,Tiruchirappalli,Gandhi Market Trichy,Banana,Robusta,2023-01-02,3449,4258,3823,120.2
Maharashtra,Pune,Pune Market Yard,Cabbage,Golden Acre,2023-01-02,1487,1800,1632,109.6
Tamil Nadu,Coimbatore,Coimbatore APMC,Carrot,Ooty Orange,2023-01-02,3060,3744,3376,63.2
Karnataka,Bengaluru,Yeshwanthpur APMC,Carrot,Ooty Orange,2023-01-02,3190,4134,3626,66.0
Delhi,North Delhi,Azadpur Mandi,Cauliflower,Snowball,2023-01-02,2068,2475,2256,78.0
Punjab,Ludhiana,Ludhiana Mandi,Cauliflower,Snowball,2023-01-02,1945,2302,2110,72.9
Tamil Nadu,Dindigul,Oddanchatram Market,Cauliflower,Snowball,2023-01-02,1936,2377,2140,71.1
Madhya Pradesh,Mandsaur,Mandsaur Mandi,Garlic,Desi,2023-01-02,10951,13238,12007,32.0
Tamil Nadu,Coimbatore,Coimbatore APMC,Ginger,Fresh Green,2023-01-02,8490,10519,9427,34.1
Kerala,Wayanad,Kalpetta Agri Market,Ginger,Fresh Green,2023-01-02,7251,9161,8133,38.1
Tamil Nadu,Salem,Salem Agri Market,Green Chilli,Spicy Hybrid,2023-01-02,9334,12013,10571,33.9
Karnataka,Bengaluru,Yeshwanthpur APMC,Green Chilli,Spicy Hybrid,2023-01-02,9411,11289,10278,48.3
Delhi,North Delhi,Azadpur Mandi,Onion,Red Nasik,2023-01-02,1976,2583,2257,503.9
Tamil Nadu,Coimbatore,Coimbatore APMC,Onion,Red Nasik,2023-01-02,2059,2600,2309,470.8
Maharashtra,Nashik,Lasalgaon APMC,Onion,Red Nasik,2023-01-02,1931,2281,2093,557.0
Maharashtra,Pune,Pune Market Yard,Onion,Red Nasik,2023-01-02,1950,2554,2229,480.0
Tamil Nadu,Coimbatore,Coimbatore APMC,Orange,Nagpur Mandarin,2023-01-02,4152,5403,4730,76.6
Punjab,Jalandhar,Jalandhar APMC,Potato,Jyoti,2023-01-02,1879,2247,2049,270.6
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Potato,Jyoti,2023-01-02,1878,2247,2049,273.1
Delhi,North Delhi,Azadpur Mandi,Tomato,Hybrid,2023-01-02,1685,2061,1859,118.3
Tamil Nadu,Coimbatore,Coimbatore APMC,Tomato,Hybrid,2023-01-02,2065,2420,2229,110.4
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Tomato,Hybrid,2023-01-02,1607,1972,1776,172.3
Maharashtra,Nashik,Pimpalgaon APMC,Tomato,Hybrid,2023-01-02,1593,2090,1823,132.8
Karnataka,Bengaluru,Yeshwanthpur APMC,Tomato,Hybrid,2023-01-02,1996,2591,2271,132.3
Telangana,Nizamabad,Nizamabad APMC,Turmeric,Finger Salem,2023-01-02,11218,13758,12391,43.3
Punjab,Ludhiana,Khanna Grain Market,Wheat,Sharbati,2023-01-02,2212,2601,2392,912.9
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Apple,Royal Delicious,2023-01-03,10780,14107,12316,60.4
Tamil Nadu,Coimbatore,Coimbatore APMC,Banana,Robusta,2023-01-03,3993,4973,4446,85.1
